RT5,RT10,RT15,RT20,RT25,Hist_1,Hist_2,Hist_3,Hist_4,Hist_5,Hist_6,GCM_BL_1,GCM_BL_2,GCM_BL_3,CANESM_rcp85_1,CANESM_rcp85_2,HadGEM_rcp85_1,HadGEM_rcp85_2,Aug2020
0.01499718449089138,0.17283022183304217,0.26817766242918073,0.03413409326881714,0.042187919193256325,0.05976763069682437,0.0989978287284288,0.20615743382574975,0.1438181543578211,0.055799609791232586,0.017924926580831797,0.05996342226284317,0.010732330038242012,0.007388225630170549,0.15999672097852982,0.1515785738384316,0.014423540746398157,0.15534285776174717,0.04652772379482289
0.09491224246165486,0.14134241823306842,0.29691956748035636,0.003174575187283123,0.22792943278726369,0.06035026741271872,0.006217885365577228,0.025623096474834458,0.28459902011883903,0.14226806226046473,0.4053442372405791,0.05365288045906598,0.24405876596262335,0.08335225305098365,0.033718576077087135,0.003369506443954374,0.02410890748729505,0.1294325938284019,0.17342311920119144
0.019424237983735257,0.17377463046506003,0.052198930711034555,0.06093895655072651,0.0718725537270118,0.016124991258121238,0.05918716885689297,0.1115126692477576,0.1427280968343211,0.00734937425393835,0.0883958597188716,0.05669807710137629,0.09383797203068985,0.07135809165880772,0.08697592837851081,0.1668696301049144,0.10949391387432567,0.5220042897831305,0.06673727865625496
0.31093020779872127,0.08627212298848105,0.019114403511793138,0.003633326524197358,0.05305930219401648,0.014421111001865244,0.023774016698396596,0.04612998386615915,0.15280578125410077,0.04490224423266563,0.14041083050356543,0.0585243349496492,0.09548650205531681,0.010544781673364317,0.0035038460107552818,0.006207862583619684,0.04101382120335014,0.09570144216219623,0.13676539774113392
0.23078383529880983,0.039798012636584425,0.05691549765158027,0.10425488758608968,0.026835034861774704,0.03878578178836159,0.10270201282573231,0.0017328168373647878,0.028673237475188684,0.006813181922874787,0.4607346558153815,0.11120383251884763,0.09311177302590856,0.03005544772404388,0.0052283563131704435,0.037076098144816716,0.4942750332679937,0.05867209706720042,0.04640697682792109
0.1387587346192346,0.12726171949594872,0.10925632569142887,0.040667113076766015,0.019006850397175406,0.17365192137894325,0.15116371166115222,0.06386334138109673,0.016343250868492927,0.21170968687340386,0.20185805388928302,0.07829860829530261,0.1795390750678415,0.45552187195840094,0.04221665776150813,0.01485161885894852,0.03282819599006019,0.526933472041828,0.06580311586987939
0.05366976001439286,0.02312907877167926,0.028100345911842503,0.011599646212120363,0.10911368359179788,0.06172698056820141,0.23744784118878615,0.03875523742849074,0.24161764370298056,0.07418765440320994,0.3438707499421849,0.1855901609447639,0.004818104539722548,0.008129371549685125,0.07416726669359607,0.030543170965476103,0.17212309663128195,0.012004117787721534,0.271460848564361
0.06669730001532968,0.10312401581196205,0.012579968021619571,0.01496580494083328,0.1416126422532323,0.018276660435363207,0.030912733944126955,0.011652162045363604,0.034152812525825436,0.046418261232731926,0.1470551157841967,0.2649033722434651,0.003718700130814917,0.020719129654706653,0.2069073405556194,0.06272862450312401,0.08598366863401365,0.09207295058676608,0.161292482020305
0.09051626715611161,0.11136228809940296,0.060994305189952004,0.0355276634794434,0.06466757357691534,0.047994783864385986,0.1500883723322979,0.14547087400944753,0.03433708349639436,0.15943143238410473,0.06827174292698059,0.021112295646635425,0.23819481950064506,0.1461183440631633,0.4888509124936398,0.025963437229266154,0.00272430292281908,0.10209649785003723,0.03987615332175501
0.06142635229056331,0.14219401813035928,0.1826103688470659,0.037530081063916046,0.020910999881202395,0.08379012296123242,0.025397902751738477,0.044805183716418305,0.04374927486496253,0.2182716560748612,0.1330699065376276,0.14340972115214076,0.03312162134856183,0.04727038626208677,0.01698937022644418,0.007280456457545272,0.07313903826302452,0.020768184621266457,0.006829197325547193
