Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Rain_6,Rain_7,Rain_8,Rain_9,Rain_10,Rain_11,Rain_12,Rain_13,Rain_14,Rain_15,Rain_16,Rain_17,Rain_18,Rain_19,Rain_20,Rain_21,Rain_22,Rain_23,Rain_24,Rain_25,Rain_26,Rain_27,Rain_28,Rain_29,Rain_30,Rain_31,Rain_32,Rain_33,Rain_34,Rain_35,Rain_36,Rain_37,Rain_38,Rain_39,Rain_40,Rain_41,Rain_42,Rain_43,Rain_44,Rain_45,Rain_46,Rain_47,Rain_48,Rain_49,Rain_50,Rain_51,Rain_52,Rain_53,Rain_54,Rain_55,Rain_56,Rain_57,Rain_58,Rain_59,Rain_60,Rain_61,Rain_62,Rain_63,Rain_64,Rain_65,Rain_66,Rain_67,Rain_68,Rain_69,Rain_70,Rain_71,Rain_72,Rain_73,Rain_74,Rain_75,Rain_76,Rain_77,Rain_78,Rain_79,Rain_80,Rain_81,Rain_82,Rain_83,Rain_84,Rain_85,Rain_86,Rain_87,Rain_88,Rain_89,Rain_90,Rain_91,Rain_92,Rain_93,Rain_94,Rain_95,Rain_96,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10,Total_CSO
0.014771353694314078,0.1348080143463152,0.10327194122819323,0.1797744398736172,0.03370179625363427,0.3037874053534583,0.0018946523214330665,0.004847208125808033,0.01656783582079591,0.02536669362067931,0.10225537582872755,0.0009214400434800935,0.025134201176327448,0.09385041537829975,0.006436642317258068,0.22791136173820267,0.18463922296781313,0.07531724614191226,0.03581878935070566,0.07541008243046096,0.10804779534306314,0.05903619541217569,0.002866466798340543,0.0035189039140797484,0.1799807178423023,0.20063138896956964,0.02864154337091599,0.0517739453808814,0.39144980271114416,0.013402800596637851,0.156120976928241,0.012224647085827683,0.12889985949353708,0.01884790642126843,0.004782663368848643,0.04960218056371044,0.016569645860537215,0.029004805138377773,0.045796891675635436,0.08953823308572503,0.30448921880485047,0.03916866972899722,0.03705108256127762,0.03632838194011418,0.08378786675993105,0.10318736754612344,0.06138868280845186,0.017905171178390602,0.1597505653529513,0.06370253949212805,0.05479566966761599,0.09213172962162494,0.13661310468447416,0.009817100364105854,0.10027221637864699,0.016237234130371273,0.21028925364262646,0.08791522464645622,0.0654391661855105,0.20536275834201387,0.08534423108781351,0.09983494500381923,0.0015954187704057144,0.019688825426315757,0.043088819527277056,0.12457265377178726,0.17635465228053107,0.0699857194941053,0.07130690728242992,0.21962784253127104,0.1834458395789007,0.02309005770996804,0.031534286095056645,0.042298550945016916,0.025336901483533097,0.25116570966605706,0.0008195688900289102,0.13299051878178558,0.04040670015641922,0.002108212469256966,0.08727063877878727,0.2433618905144178,0.1749694727055968,0.04653486256768829,0.02436792124085275,0.34622964151046315,0.03743213327336087,0.015913881432018624,0.07992196966648123,0.08903492518839214,0.2145180890303615,0.011897749773671735,0.01513797060980093,0.05160734565794959,0.34850714255658233,0.05727443621523143,0.7445833495243811,0.15044205610384642,0.9379690455011913,0.5010208332848394,0.8095657258645806,0.6965374972343995,0.5678770872840447,0.6170776691089126,0.1434439892407543,0.7158653696282212,8518.898646612488
0.38616497898863017,0.07971064324568387,0.03497641271379039,0.06532966024445921,0.6234880861693725,0.1524302702696831,0.01234300464694263,0.020949874539215336,0.07101472773041372,0.014063118157697094,0.025910558339370417,0.07716387794864779,0.025561866707953552,0.011390200020433706,0.1947233398785651,0.08525718685137179,0.024461586450809113,0.10869662413751638,0.004127935376381807,0.0023056348754702275,0.1568029978184561,0.024458650572552434,0.05240635479407701,0.025062345589789876,0.1368768393238895,0.08775898132132193,0.200161440983814,0.095522936523337,0.19658469589700045,0.3675482246057859,0.028580084039180505,0.06585521394443765,0.15259851077803893,0.12492208791513992,0.11584525547080363,0.01995826580747174,0.07683904218483813,0.06295714199470082,0.04947708701049137,0.028904575019352098,0.19082644312742814,0.04699412694535882,0.08585829416868515,0.10232885879465535,0.20677401364312586,0.04084872054594729,0.05496427100824278,0.014545772892130921,0.03054786163756459,0.024372455950600183,0.0019262358123260854,0.23601739708420566,0.13174363564778221,0.25886122988890764,0.019765135055715966,0.17556905241681295,0.09495638791989514,0.07148092775735491,0.021308329295408174,0.18815831859201962,0.008290376956331376,0.030446649037479123,0.16090068115441994,0.03111736611308509,0.007220296471000877,0.10562776015526994,0.0011903730139430284,0.04260070849123014,0.028013359258122025,0.22487780665474155,0.08762293073700873,0.04848172004280751,0.29290595780669454,0.06495759696425762,0.014018599810012545,0.07410071221494195,0.09446360346606848,0.032824523389180814,0.2650248383368554,0.016777914580193082,0.11950063892976798,0.08181444894953722,0.14161460994820418,0.029586963907489508,0.2429713179415418,0.08494076826871383,0.15473718592176042,0.15831231948749053,0.2296558670589075,0.0322832931414622,0.035089656167082886,0.05637182414746542,0.025487341010610794,0.052902531135254484,0.0076536532629161505,0.048331203121216484,0.0815913499547043,0.1584764502773166,0.2456918801225607,0.20388296628424774,0.546491308571637,0.8213971210353483,0.4215865526018481,0.5171526927115722,0.6771645342932741,0.6299344899133578,9213.975585432261
0.03387767191772575,0.073785111764111,0.11187690405616744,0.11498836065882792,0.03385995165033421,0.045298381450094405,0.04591701204702211,0.006737632307944052,0.06680074221235671,0.11319747481040904,0.017413908768108877,0.008420674279385061,0.10578877402959729,0.25235144778138247,0.09967861859883603,0.11413395433961636,0.25207149385801647,0.14415736553827593,0.16548485506388266,0.008300474189628598,1.8118259213437337e-05,0.26720547900360736,0.12160685302541492,0.044922186044473955,0.048665779206520925,0.3381136287275051,0.10211781900669846,0.05308880237039654,0.3294371376658194,0.31240084649324107,0.13530276921088455,0.04026297613340852,0.030848507692170003,0.11658496411203015,0.031370986176360985,0.009453754167653207,0.045691035633037815,0.04175403368390893,0.11000061148750445,0.05360608860466892,0.009472606519629518,0.14458999661655125,0.028960406014725548,0.0038305342423870497,0.1090615491410526,0.02708792827130252,0.03534253559267441,0.1976744880343271,0.2593379283237632,0.005158556751851137,0.061912753218002915,0.026626028052963203,0.19297860978149922,0.07684280507199621,0.14248195305207678,0.08207889566037985,0.03766221896154079,0.08421704057752738,0.03622214646371824,0.02892030143023206,0.019105608602902033,0.1653513243467068,0.11939263513143535,0.007737248973822507,0.1616561453008134,0.09174467730744462,0.3756917500484952,0.009867470273502387,0.06762385870266051,0.09804742498398121,0.17056147822617884,0.005829290083708545,0.030001984155027462,0.0554753076127704,0.04867155698453617,0.06260627983594132,0.0029005512800609062,0.18860719261728665,0.00937169845212584,0.2979122027864169,0.007037205749160455,0.05861804674039455,0.05788340454142408,0.012415928524300842,0.03162787668019501,0.13997994949822198,0.07940784828588143,0.051153473954067,0.025490508596372204,0.27221716786019706,0.0398317664901043,0.10766890895366843,0.22573253738932353,0.13192962147574613,0.025233195217899414,0.19023069476956161,0.9880582986540605,0.05282343922803312,0.5759341131883129,0.8237102485598256,0.38965600654722676,0.8251783660502393,0.8727000092705152,0.11928644085414675,0.5525944769564888,0.23739481785269356,8804.454762694351
0.07450069138789357,0.07270290763953928,0.092331157399901,0.11971738863054814,0.10821171777374304,0.18025272301852047,0.08165320136762473,0.18237518869276148,0.19695202249906693,0.1275618864924937,0.041133874854439555,0.022106364625722158,0.05117787829739685,0.08378330522159806,0.23427232197682737,0.04376372942724116,0.025653796403546217,0.1760092695977787,0.23729369954388294,0.315246176229381,0.004944391466059385,0.11896464711928614,0.06109958597465073,0.27249250839456673,0.13364774344491356,0.036026222146226236,0.018567437351021437,0.16526008257465807,0.01696006112217551,0.2329441116505001,0.1681336560021919,0.00850527795525989,0.15156845962857335,0.10553341310250307,0.12541764896877483,0.06053446391618918,0.004551886118119733,0.026394066657614762,0.05095542590738416,0.10654624042528371,0.13907906878949525,0.14695549816075573,0.007398599122723732,0.2598295809328387,0.08883474220709046,0.06505042386244247,0.3419698174353669,0.02415544456016573,0.05224737509583952,0.020907677776191378,0.03086747282791301,0.058099260755710064,0.2349513238059398,0.3008583321102112,0.11937096701325112,0.10060584638609016,0.04768759735007136,0.11151716405984476,0.013150048068018828,0.008672758661319823,0.12954828731669385,0.05017985510030252,0.1613961374994109,0.0009932169009949068,0.008045969062249504,0.04837298331247855,0.14856983550239505,0.010470438718129717,0.026779436364481025,0.18871760084283973,0.012172407726848272,0.08729616444197846,0.04901298581933433,0.14386826123909296,0.018329482480041747,0.005660300167834255,0.034353779840069994,0.007212576234141191,0.2294559108137355,0.26109616631511273,0.0774731554488064,0.02492658486250808,0.0045264182120966735,0.024206205488225552,0.012340524170961703,0.04384028683522251,0.008372231329489322,0.1437899111622875,0.09180087356762517,0.14008255198728506,0.38773706675832625,0.11235605096779533,0.03918564294472798,0.04554631048529376,0.05402764186341089,0.08862810313703455,0.30584551100071733,0.36208812488315145,0.025184619162996302,0.9318310355400602,0.3710852196014669,0.38692475943774907,0.3307910473798097,0.7883174647866467,0.9407728153239199,0.22790778217236107,9502.072674219007
0.014659507729236455,0.2807513857159922,0.2967023547059772,0.05573573072383902,0.06796427473314424,0.011432083030802835,0.04923842250665382,0.03102820683463088,0.30007463964755116,0.0512359569038389,0.024255186787673758,0.10058348399682003,0.04395925609388426,0.05489123116880501,0.0964024849099505,0.11443714908789669,0.0544866250944613,0.0033488765886688374,0.04190970841121026,0.2084104712763306,0.03238973793307288,0.01577224682224587,0.07999859576260346,0.2499985217078262,0.054346497496541114,0.021693165627011596,0.024707994589961813,0.40763845996687487,0.2142212766181628,0.1367584536725596,0.014228870804611491,0.11548829704782813,0.017042639695831308,0.05609501880869036,0.15719500095610175,0.06879692931278862,0.0035479298460842214,0.42329674445687354,0.1857835652061858,0.1356023513614786,0.10115510225382958,0.3472401582299131,0.1643288307150969,0.07371491594376062,0.1066140423924275,0.12839929772376116,0.08687614879288426,0.14814961269776647,0.21410470872154252,0.06984619772959436,0.044383306499223625,0.1747901313929987,9.747587046341257e-05,0.01033112564244124,0.04610384114308068,0.24253523103854577,0.055510483144441784,0.08348152089555666,0.10346593950822691,0.026020231836995894,0.10922018880971096,0.018098238897863654,0.09061779467047136,0.13817246625334872,0.07151354791152095,0.03295369497974515,0.38229448107617175,0.05217318572700576,0.09704721946637908,0.002809884812131496,0.13215602309122385,0.19807768942581214,0.11811996953315729,0.2993339389385401,0.002576490751977339,0.07263908752055648,0.06174784539207048,0.22411177626767836,0.025758265543731163,0.2949259236059267,0.02774824208723195,0.013747691806130835,0.11521903645077057,0.03320686536582217,0.04605066882629172,0.07574369121869497,0.16226263849831657,0.00015222143381237114,0.06637273971115679,0.024951880988273584,0.014598939993612867,0.027878496780778736,0.025275932403673852,0.1692621958556832,0.03124863321266487,0.04687019791537788,0.11552658422402629,0.04154114349106908,0.41332651632755135,0.6009777946628135,0.7767850092708871,0.512097624374946,0.8294453111417522,0.1894080672023969,0.8373334666704385,0.6069898168013302,9786.937057667068
0.04755175845643955,0.0821763434726757,0.16685024352836228,0.13234089769795582,0.010935893135662976,0.02476021262546494,0.0539817828129398,0.11359878955642598,0.0763254390785853,0.16275850844247317,0.008276929694032856,0.2892295016034249,0.0265677764200502,0.011533396730315462,0.005022593760456036,0.028232205304329405,0.08103622585087562,0.07105251656171302,0.07682199668081015,0.017697194678403694,0.20107187173861685,0.06189668415757554,0.036533329943483205,0.5513813232938983,0.07636390973898344,0.0661314667406308,0.19459443712764612,0.11316845542460606,0.46295065633596,0.20254296982152833,0.6043046688808569,0.11382044519286082,0.015041724797332713,0.05904206501779598,0.012838020966893272,0.009091987786987532,0.04351812986359633,0.02132312702407979,0.026804620587116076,0.019613184712653612,0.0051977527479572785,0.04673386831312236,0.13970790755074566,0.24645784450160146,0.0405893416513403,0.10797663658473818,0.022768483054058805,0.09426051404007713,0.23278073737098304,0.06369510962719994,0.07604737694715186,0.20339239034921644,0.3513632992148725,0.2519849326897253,0.005209009529292775,0.23318841054222972,0.06222674629652525,0.08145555482563152,0.3446747104232418,0.019860316790448945,0.004668927893119782,0.023746185712032047,0.04555646040855235,0.0925671551361265,0.08482596893656705,0.12150282326584767,0.07411876106412384,0.01760199930999576,0.005285785097267577,0.005097401777449523,0.06218404268107169,0.27467270210120737,0.053869713282488345,0.016192386100216078,0.0022212331444500803,0.06104895518195255,0.014269746236015825,0.027325131742239214,0.21170263766969033,0.011567908559929126,0.017689291174649027,0.10250800471492555,0.03618304207352385,0.059393146570858896,0.19715052730227633,0.022205584183922933,0.04917936536211873,0.10643328619729849,0.015366192682301466,0.05683603571319123,0.24311453779649086,0.014687199961263206,0.28874174406246783,0.07486412256838225,0.1094043286355936,0.10884091786932713,0.05276961830508464,0.3640223262743716,0.6424960002150902,0.793904551045453,0.14807117521136726,0.7454875000194,0.3126324067441121,0.42948875227110084,0.24673053314193882,0.062662116302872,9690.069186396364
0.12625246856210193,0.012639171817425514,0.004070083010589885,0.3783120569801991,0.04763114946281115,0.11627833207445432,0.28735886413341827,0.11125321721409838,0.0665030007422454,0.046229480818313455,0.1937096464435353,0.061532534041008495,0.07841284048617206,0.10646092541998725,0.0075817935461440075,0.1472995121585806,0.11008247274772592,0.001554004100532724,0.2842301631862159,0.06272589413131067,0.019675590577197713,0.026114478579239642,0.1552566687206818,0.06663779004934976,0.24223486550255552,0.06761212132606269,0.022474763909178935,0.06149831563584438,0.06285121632066956,0.013689684643558245,0.008308675821220425,0.002334850101753198,0.01624628418430128,0.10682792757030742,0.059866481527577634,0.024727629841762244,0.18090880209173307,0.11711165917266175,0.030790158495457222,0.04001049685761712,0.08719310009304052,0.029095345335289437,0.0702216769994882,0.2225862972895295,0.18478864757870692,0.0007455894115038652,0.19926969387039875,0.1390754242683483,0.03605753661214252,0.032051312152151325,0.06198672440277225,0.02927583984031229,0.033607388057542355,0.15514616938920067,0.06435483374718191,0.044951689449766956,0.049459201459451534,0.014584254434954183,0.16905899821603246,0.3416335349045197,0.36310072891434514,0.08115513158124814,0.04338839053125586,0.030720093308386265,0.02391740763624335,0.15085044666829217,0.12964794675770006,0.2167585266733085,0.06932192160107528,0.026558578006537426,0.013972792779942903,0.07738306629437063,0.034948293669887644,0.13983305230156795,0.22728637606266597,0.0792705014967583,0.047192706154615044,0.07491950065899189,0.2192025079628202,0.11806168234913302,0.17164573551773282,0.11606374980993837,0.0957998373523196,0.05273363703720935,0.0010925392605755193,0.16314631462299906,0.19579092451790625,0.05887552761400675,0.43429317978351256,0.0413759635261054,0.07139071324700696,0.06141949154669068,0.17710165268738617,0.23653342875753547,0.5957870256242519,0.04755016625973389,0.6410875275845553,0.48963378157882953,0.2718588019226561,0.7344170494437776,0.037242054306037,0.8115971620046214,0.08423110132125211,0.11390398311767669,0.031217038818794896,0.7833608739305304,10117.14344487735
0.12114215775074613,0.027196525632251924,0.03417417153270005,0.30873950702326985,0.13555302397612845,0.08451282229734197,0.03510317840754655,0.0691729017875569,0.02188601082644217,0.0757646102095935,0.008077965360842805,0.2975241543496428,0.04539850362583488,0.04802476304120006,0.1307933531831818,0.03573020592079559,0.1002729981538785,0.3898196841310034,0.19875831052224374,0.03940300648998537,0.028279826146284073,0.0020294088690481393,0.21461351822316344,0.004535562976951708,0.2609117350565426,0.10079916499433167,0.3386737982404075,0.2842923767703133,0.16557491047169032,0.0246272832028952,0.17976816947390437,0.13408871655528884,0.005594526773226385,0.01148669464125586,0.13134772828775151,0.09774271283473882,0.1425177375802121,0.1747963769236672,0.1060552154914112,0.06836664739140497,0.008180619945376643,0.10483775408829835,0.1237521875625723,0.17760832422129022,0.11086603421118653,0.16398066410994575,0.02658318315001217,0.08664602374173896,0.06374888670942021,0.0704652050201499,0.18553278072555174,0.06821562378881878,0.06596709735590177,0.016792038261650547,0.05666435893311779,0.17422254566566397,0.09167356117298728,0.03011201965627286,0.15277657224178767,0.2131495508643805,0.02575362437845502,0.018751661926586335,0.08197861777966799,0.02040068864314007,0.042581084615809894,0.023179507275961256,0.11970497472439767,0.3563501930383286,0.058562056062066895,0.3999711305083266,0.16175611136312223,0.10325266959719803,0.38355111281980103,0.05895887741492565,0.04699751003729438,0.2516249241633625,0.059430323798954014,0.014334524119119806,0.06956042107678401,0.04262725221153505,0.17170651608235799,0.1295318537905434,0.05844207488449941,0.0630023113645199,0.041823634118913634,0.19024740712080068,0.03037773002588384,0.018495635744325705,0.07075132638968844,0.09149146152102777,0.23389343789387326,0.07264837045085136,0.06304977156938654,0.031038833600128192,0.03194061327520875,0.05989794203975035,0.028780316353321456,0.04661857407627468,0.980793058990324,0.2945556692940372,0.8430403449588969,0.9516284536670868,0.45219810992316256,0.7050208206930432,0.8960594049014163,0.027946908581995,10334.506799454113
0.12248287441255401,0.003988583540451409,0.16607668012738264,0.021783438710520582,0.19383301473404735,0.07265479598974714,0.16320274658173956,0.18784917249843192,0.07000297172578081,0.1092407304213658,0.04731368984726089,0.16819479923160788,0.09411433075260679,0.07461896572964302,0.014286501405889218,0.011798256855513669,0.039527810431042434,0.10567682036800602,0.35587229183300684,0.23964601877887165,0.1069531662507816,0.05718027299831383,0.22672716517714867,0.08057984897084904,0.03415649627919131,0.2200688246900159,0.10712883843064931,0.033396489893286425,0.06019749672133661,0.3401862966651477,0.010040399825390307,0.2625038062945753,0.4004395557185267,0.015871661947734036,0.3416017398202084,0.15181140253486947,0.2473344163976804,0.1772692417462885,0.05104919547565451,0.030577648206753905,0.08632282371123212,0.2510706339806844,0.007957651821889426,0.027120606476393295,0.09325297721254357,0.05664823223536819,0.08894899118760546,0.3535871156511503,0.1949171409052166,0.031566704687434506,0.16854298095009668,0.05367535394423443,0.03484022007010352,0.2712400637373339,0.005604351499165812,0.061609060940918114,0.013842510070715262,0.05361850211395397,0.062046856768642356,0.13110691007614847,0.032310225276189035,0.03398543695217926,0.0452913081379514,0.17669183047761983,0.052532038808759056,0.24588569527227683,0.003617865186828983,0.09112192832414165,0.04857748660746322,0.09601417134507101,0.04057130974881068,0.05992317212140197,0.04100931802831794,0.05460067179809071,0.15380564503775018,0.025865728547085673,0.14522185080469827,0.1340976237054797,0.2190057750050491,0.09224278742996339,0.41643929008880143,0.08120967756468547,0.15140875144023064,0.12085144018819682,0.02189274331332541,0.1821430007357553,0.1093449713017764,0.16229553389170714,0.007409412334279485,0.08782690500030137,0.09063985359427987,0.26008282379725806,0.05560254993304514,0.09625012884325664,0.008382075598381071,0.044088030507301236,0.9292114270686335,0.8135758842397762,0.672243723585472,0.6478870413741518,0.15493013659358534,0.9347832545251713,0.08224708145735415,0.2767458818788672,0.82646736965739,0.717939475674601,10841.132708398996
0.08583857306144901,0.16910860342870335,0.0626356873488893,0.10504151129947809,0.0756152596948179,0.0024254025525014544,0.014738116845758362,0.010865457593209709,0.1328551403116245,0.015338197428658443,0.03801174402423611,0.15887260229620928,0.08631433622904781,0.24771898996520472,0.11025355308170155,0.09688243703260473,0.022017007402318003,0.041072140905094416,0.06062833975290838,0.03187987533044258,0.16714330548119447,0.022927030620166017,0.03552364387673972,0.036737825104819204,0.003874534472275277,0.010770502732919969,0.2976316465798311,0.15195521395105913,0.22394803651562115,0.011293562080882056,0.006830243081304187,0.12939882903120753,0.1974080029255657,0.17217190271876232,0.0184249670185795,0.06880898040809454,0.09768478560326278,0.11064223847673094,0.07260509967856915,0.020573599418871685,0.19735774971465977,0.23162645524111208,0.0026209927207036313,0.025730211320879104,0.23269216493881983,0.0199603155710093,0.023829217284508958,0.015306493895137316,0.013757680738342565,0.03875274590966013,0.0823301005840191,0.04043441983108061,0.01806381058101184,0.48690964666695513,0.05144032796134551,0.21109328940006045,0.05112348274521024,0.06997332339891262,0.263443462673517,0.09863259854223631,0.314322960156472,0.05657400556216357,0.02203338356714092,0.03252131820230175,0.009887071343548048,0.07786124729593259,0.20892265166652801,0.008771756707752936,0.014841806948387935,0.07079942969873582,0.018892373796263143,0.13493045761447198,0.04434362444671036,0.3107081631619551,0.10436907540844745,0.11531288584074578,0.06712069586909784,0.052907337632993434,0.11726038323438986,0.03461867244632633,0.18961285180096143,0.29735353430087974,0.015446396169058189,0.23249026868491474,0.2624796721760227,0.03771024883193347,0.004915123783254722,0.09355712879753787,0.015297678711033711,0.6519149635920329,0.11538751912531352,0.004255092070612013,0.04255260368425901,0.032142649956271814,0.33234068217970014,0.0385770734571958,0.8714259215450274,0.6835995933177462,0.009284748396269249,0.9382561422769174,0.1931414297455245,0.5609363308136891,0.2935427799092538,0.8216502276380044,0.3415471933028985,0.10272528488769073,9695.219301341564
